"lon";"lat";"species";"cells";"wcbio_02";"wcbio_05";"wcbio_09";"wcbio_12";"wcbio_17";"wcbio_18"
-43,5082859299236;-20,2913151895384;"Lycopodiella alopecuroides";5888;20,2320003509521;310;61;11,1763334274292;17,4879989624023;19,6873321533203
-43,0093502652758;-18,2973786558272;"Syngonanthus caulescens";1294;22,3766670227051;278;36;11,7476663589478;18,5519981384277;21,9080009460449
-43,475;-20,266;"Miconia corallina";5889;21,7526664733887;297;53;11,4086666107178;17,984001159668;21,1306667327881
-43,5082859302814;-20,2916151948885;"Chamaecrista dentata";5888;20,2320003509521;310;61;11,1763334274292;17,4879989624023;19,6873321533203
-42,0333858659022;-20,2621158114588;"Solanum warmingii";5924;22,195333480835;226;74;13,0606670379639;20,2240009307861;21,4433326721191
-40,5416847206305;-19,4169007116929;"Neoraputia alba";3999;25,2766666412354;192;129;10,3956670761108;16,3959999084473;24,4506664276123
-41,83;-19,67;"Siparuna guianensis";4557;24,2373332977295;212;71;11,9460000991821;18,4320011138916;23,4606666564941
-40,071853011446;-19,3949002236543;"Handroanthus heptaphyllus";3913;26,0400009155273;188;145;9,20766639709473;15,1600008010864;25,1813335418701
-43,4872;-20,0964;"Anemia raddiana";5497;18,775333404541;324;66;11,1310005187988;17,2159996032715;18,2706661224365
-43,4154792631713;-19,9632093958864;"Senna neglecta";5205;22,6140003204346;310;47;11,9653329849243;18,6879997253418;22,0380001068115
-40,6031;-19,8967;"Cyathea axillaris";5076;22,5433330535889;201;165;10,0693330764771;16,1119995117188;21,6919994354248
-42,9087453925292;-20,4202180528198;"Protium heptaphyllum";6295;23,6660003662109;254;50;12,1473331451416;19,4720001220703;22,8379993438721
-43,379375372372;-18,6084842990958;"Hortia brasiliana";1971;22,271333694458;276;41;11,8660001754761;18,6119995117188;21,8279991149902
-41,835139;-20,411003;"Sticherus pruinosus";6222;18,9640007019043;237;96;12,2236661911011;18,9400005340576;18,2846660614014
