"est";"id";"scientificName";"names_wo_author"
"MG";134399;"Cosmarium norimbergense var. depressum (West & G.S.West) Willi Krieg. & Gerloff";"Cosmarium norimbergense"
"MG";134401;"Cosmarium pachydermum Croasdale var. pachydermum form. parvum";"Cosmarium pachydermum"
"MG";134403;"Alloplectus villosus Hanst.";"Alloplectus villosus"
"MG";134404;"Columnea klotzschiana Kuntze";"Columnea klotzschiana"
"MG";134406;"Crantzia villosa (Hanst.) Fritsch";"Crantzia villosa"
"MG";134408;"Hypocyrta selloana Klotzch & Hanst.";"Hypocyrta selloana"
"MG";134409;"Diplusodon myrsinites var. cribellinus Koehne";"Diplusodon myrsinites"
"MG";134411;"Diplusodon oblongus var. angustifolius T. Cavalcanti";"Diplusodon oblongus"
"MG";134414;"Diplusodon orbicularis var. brachyander Koehne";"Diplusodon orbicularis"
"MG";134521;"Leptothyrium bactridis Henn.";"Leptothyrium bactridis"
"MG";134522;"Leptothyrium byrsonimae Bat. & A.F. Vital";"Leptothyrium byrsonimae"
"MG";134523;"Eleocharis endounifascis Hinchliff & Roalson";"Eleocharis endounifascis"
"MG";134524;"Cladophora pygmaea Reinke";"Cladophora pygmaea"
"MG";134525;"Cladophora pseudorupestris C.Hoek";"Cladophora pseudorupestris"
"MG";134527;"Ceramium filicinum Gratel.";"Ceramium filicinum"
"MG";134530;"Centrosolenia bullata Lem.";"Centrosolenia bullata"
"MG";134532;"Licea succulenticola Mosquera, Lado, Estrada & Beltrán-Tej.";"Licea succulenticola"
"MG";134535;"Cantinoa nanuzae Harley";"Cantinoa nanuzae"
"MG";134542;"Closterium praelongum Bréb.";"Closterium praelongum"
"MG";134580;"Turnera elegans Otto in Nees";"Turnera elegans"
"MG";134583;"Ectocarpus tortugensis W. R Taylor";"Ectocarpus tortugensis"
"MG";134589;"Morenoella dothideoides (Ellis & Everh.) Höhn.";"Morenoella dothideoides"
"MG";134591;"Morenoella killianii Bat. & H. Maia";"Morenoella killianii"
"MG";134592;"Cosmarium lobatum Børgesen";"Cosmarium lobatum"
"MG";134601;"Cosmarium pulcherrimum Nordst.";"Cosmarium pulcherrimum"
"MG";134606;"Morqueria prinoides (Tracy & Earle) Bat. & H. Maia";"Morqueria prinoides"
"MG";134607;"Neostomella costaricensis (Syd.) Arx";"Neostomella costaricensis"
"MG";134611;"Parasterina brachystoma (Rehm) Theiss.";"Parasterina brachystoma"
"MG";134621;"Asterina dilleniae Syd. & P. Syd.";"Asterina dilleniae"
"MG";134664;"Dendrodontia bispora (Burds. & Nakasone) Guerrero & C. Rodrigues";"Dendrodontia bispora"
"MG";134733;"Parasterina transiens (Theiss.) Theiss.";"Parasterina transiens"
"MG";134767;"Staurastrum asteroideum West & G.S.West";"Staurastrum asteroideum"
"MG";134777;"Staurastrum contectum W.B.Turner";"Staurastrum contectum"
"MG";134786;"Myrionema expansum J. Agardh";"Myrionema expansum"
